-0.000179,0.003467,-0.001332,0.999993,-0.006444,0.006798,-0.002426,0.408468,0.323459,0.000597,-0.437662,-0.082785,-0.481001,-0.754266,-1.949025,7.57078,0.577143,-2.118587,7.726647,-0.430287,-0.619784,0.496506,-0.008316,0.910967,-1.790826,-0.001534,0.957981,-1.928633,0.004853,0.947353,-1.905037,-0.002259,0.896053,-1.781259
0.000138,0.003799,-0.001328,0.999992,-0.00737,0.005945,-0.018009,0.317518,0.331243,0.002368,-0.344734,-0.049198,-0.560682,-0.650944,-2.11663,7.681962,0.70933,-2.29759,7.849898,-0.335059,-0.568983,0.382509,-0.009006,0.910869,-1.791948,-0.002836,0.953748,-1.913269,0.006271,0.942758,-1.889337,-0.00293,0.894915,-1.780494
0.000399,0.004137,-0.001324,0.99999,-0.008441,0.005461,-0.034118,0.261399,0.337376,0.003474,-0.287764,-0.007804,-0.653151,-0.599844,-2.267502,7.697793,0.776954,-2.454263,7.860362,-0.276532,-0.518504,0.271436,-0.009581,0.910853,-1.793254,-0.004036,0.949213,-1.897873,0.007825,0.93785,-1.873617,-0.003483,0.893878,-1.779952
0.000624,0.004479,-0.001319,0.999989,-0.009632,0.005207,-0.050807,0.226151,0.34229,0.004087,-0.252368,0.03855,-0.753681,-0.576894,-2.396255,7.611275,0.802532,-2.585135,7.762978,-0.240046,-0.467383,0.160842,-0.010086,0.91093,-1.794761,-0.00519,0.94442,-1.882651,0.00943,0.932679,-1.858091,-0.003963,0.892944,-1.77963
0.000827,0.004825,-0.001314,0.999987,-0.010914,0.005091,-0.068112,0.203134,0.346069,0.004301,-0.229577,0.088914,-0.860409,-0.566818,-2.497873,7.419263,0.800052,-2.686106,7.559836,-0.216587,-0.414091,0.047943,-0.010545,0.911108,-1.796482,-0.006323,0.939424,-1.867812,0.01103,0.927307,-1.842971,-0.004396,0.892116,-1.779534
0.001014,0.005174,-0.001309,0.999985,-0.012257,0.00506,-0.086061,0.187138,0.348579,0.004151,-0.21397,0.142703,-0.971783,-0.560285,-2.567582,7.120209,0.777849,-2.752814,7.25118,-0.200726,-0.357446,-0.068971,-0.010973,0.911394,-1.798426,-0.007444,0.934289,-1.853572,0.012586,0.921801,-1.828469,-0.004797,0.891401,-1.779672
0.001188,0.005524,-0.001305,0.999983,-0.013632,0.00508,-0.104675,0.175013,0.349579,0.003642,-0.202254,0.199678,-1.086712,-0.551596,-2.600934,6.71323,0.740904,-2.780966,6.836217,-0.189196,-0.2964,-0.191158,-0.011378,0.911793,-1.800599,-0.008547,0.929087,-1.840145,0.014068,0.91624,-1.814796,-0.005176,0.890808,-1.780054
0.001353,0.005873,-0.001302,0.999981,-0.015006,0.005128,-0.12397,0.164901,0.348772,0.002765,-0.192473,0.259811,-1.204398,-0.537411,-2.593814,6.197711,0.692148,-2.766473,6.313681,-0.180073,-0.230019,-0.319562,-0.011763,0.912313,-1.803008,-0.009622,0.9239,-1.82775,0.015452,0.910707,-1.802169,-0.005536,0.890348,-1.780693
0.001518,0.006213,-0.001302,0.999979,-0.016649,0.00512,-0.144554,0.166249,0.340137,-0.000817,-0.19243,0.327693,-1.326106,-0.528289,-2.539272,5.577535,0.519948,-2.647029,5.104105,-0.184148,-0.147158,-0.463545,-0.012148,0.912968,-1.80566,-0.010678,0.918821,-1.816595,0.016492,0.905413,-1.791961,-0.005904,0.890053,-1.78162
0.001676,0.006539,-0.001313,0.999976,-0.025234,0.00515,-0.170004,0.157827,0.325775,-0.011004,-0.178654,0.385782,-1.472541,-0.168618,-0.661844,0.43748,-0.174843,-0.03311,-0.708595,-0.183517,-0.056675,-0.652042,-0.012505,0.913739,-1.808605,-0.011016,0.917497,-1.81572,0.016142,0.905346,-1.793378,-0.006271,0.88994,-1.782925
